Point X,Point Y,Street Address,City,Postal Code,Planting Site Width,Planting Site Length,Planting Site Id,Custom Id,Updated At,Updated By,Tree Id,Tree Present,Genus,Species,Cultivar,Other Part Of Name,Common Name,Diameter,Tree Height,Canopy Height,Date Planted,Date Removed,Tree: Canopy Condition,Tree: Stewardship,Tree: Tree Condition,Planting Site: Plot Type,Planting Site: Powerlines Overhead,Planting Site: Sidewalk Damage,Planting Site: Stewardship
-75.1448779929,39.9542232933,200-218 North 3rd Street,Philadelphia,19106,,,360170,,2014-09-29T22:19:44.555801+00:00,ptmadmin,280227,True,Quercus,shumardii,,,Shumard oak,,,,,,,,,,,,
-75.1448942123,39.9541168783,200-218 North 3rd Street,Philadelphia,19106,,,368289,,2014-09-29T22:19:44.602754+00:00,ptmadmin,280229,True,Quercus,shumardii,,,Shumard oak,,,,,,,,,,,,
-75.1491929135,39.9497496225,34-64 South Independence Mall East,Philadelphia,19106,,,370043,,2014-09-29T22:20:26.820090+00:00,ptmadmin,282018,True,Quercus,acutissima,,,Sawtooth oak,,,,,,,,,,,,
-75.144356134,39.9474962672,,Philadelphia,19106,,,370159,,2014-09-29T22:20:29.662395+00:00,ptmadmin,282140,True,Ginkgo,biloba,,,Ginkgo,,,,,,,,,,,,
-75.148505842,39.9570832203,,Philadelphia,19106,,,366910,,2014-09-29T22:19:12.621267+00:00,ptmadmin,278884,True,Gleditsia,triacanthos,,,Honeylocust,,,,,,,,,,,,
-75.1521489704,39.9500408894,13-25 South 7th Street,Philadelphia,19106,,,369750,,2014-09-29T22:20:20.070201+00:00,ptmadmin,281724,True,Acer,campestre,,,Hedge maple,,,,,,,,,,,,
-75.1503986083,39.950109322,41 South 6th Street,Philadelphia,19106,,,369987,,2014-09-29T22:20:25.609266+00:00,ptmadmin,281966,True,Quercus,bicolor,,,Swamp white oak,,,,,,,,,,,,
-75.1499459657,39.9522845707,47-99 North Independence Mall West,Philadelphia,19106,,,369997,,2014-09-29T22:20:25.995025+00:00,ptmadmin,281983,True,Quercus,bicolor,,,Swamp white oak,,,,,,,,,,,,
-75.142447456,39.9511549482,,Philadelphia,19106,,,370229,,2014-09-29T22:20:32.309784+00:00,ptmadmin,282252,True,Acer,rubrum,,,Red maple,,,,,,,,,,,,
-75.1471612843,39.9523317266,400 Arch St,Philadelphia,19106,5.0,5.0,327306,,2014-09-29T22:25:07.946793+00:00,ptmadmin,293684,True,Platanus,x acerifolia,,,London planetree,,,,,,,,,,,,
-75.1502366719,39.9519124274,,Philadelphia,19106,,,369666,,2014-09-29T22:20:18.029833+00:00,ptmadmin,281634,True,Quercus,rubra,,,Northern red oak,,,,,,,,,,,,
